Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[225]   4.72  3.3e-3    0.6   3.67    4.3   4.68   5.11    6.0  32891    1.0
outl_loglike[226]   4.19  4.1e-3   0.79   2.57    3.7   4.21    4.7   5.69  36770    1.0
outl_loglike[227]    4.5  3.5e-3   0.66   3.25   4.06   4.48   4.91   5.85  35518    1.0
outl_loglike[228]   4.13  4.0e-3   0.77   2.57   3.64   4.14   4.63   5.61  36883    1.0
outl_loglike[229]   4.45  3.6e-3   0.68   3.13   4.01   4.44   4.89   5.84  36480    1.0
outl_loglike[230]   3.14  5.1e-3   0.94   1.19   2.55   3.17   3.77    4.9  34755    1.0
outl_loglike[231]   3.91  3.8e-3   0.68    2.6   3.47   3.89   4.35   5.29  32957    1.0
outl_loglike[232]   3.62  4.5e-3   0.83   1.92   3.09   3.64   4.17   5.21  34466    1.0
outl_loglike[233]    0.6    0.01   1.83  -3.67  -0.44   0.86   1.88    3.5  30394    1.0
outl_loglike[234]   4.77  3.3e-3   0.59   3.75   4.35   4.73   5.15   6.04  32747    1.0
outl_loglike[235]   4.74  3.3e-3    0.6   3.68   4.31    4.7   5.11   6.01  33449    1.0
outl_loglike[236]   2.62  6.1e-3   1.14   0.11   1.95   2.71   3.39    4.6  35349    1.0
outl_loglike[237]   4.34  3.7e-3    0.7   2.99   3.88   4.33   4.79   5.74  36258    1.0
outl_loglike[238] -16.32    0.02   4.32 -25.98 -18.88 -15.94 -13.27  -9.01  30694    1.0
outl_loglike[239]   3.37  4.7e-3   0.91   1.45   2.81   3.41   3.98   5.06  37773    1.0
outl_loglike[240]    4.5  3.4e-3   0.65    3.3   4.06   4.48   4.91   5.84  35168    1.0
lp__              512.55    0.21  22.33 467.84  497.8 512.71 527.61 555.77  11197    1.0

Samples were drawn using NUTS at Fri Sep 13 15:52:07 2019.
